OBJECTID,ADDRESS,CONTACT,PHONE,EMAIL,CONTACT2,WEB_URL,COMMENTS,NAME,ORGANIZATION,PLOTS,ACRES,MAR_ID,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
15,SEDGWICK STREET NW AND CONNECTICUT AVENUE NW,,,,,https://sites.google.com/site/melvinhazengarden/, ,Melvin Hazen Garden,NPS,,0.90631908,904847,CommunityGardenPly_15,{F6F7B624-0DDF-49C5-92E9-62377125050C},,,,,0,0
16,1100 MICHIGAN AVENUE NE,,,,,http://dpr.dc.gov/page/dpr-community-gardens,,Turkey Thicket Gardens,DPR,23,0.10735045,74603,CommunityGardenPly_16,{E4D09942-398D-4142-B21C-424BE48667CC},,,,,0,0
17,"ALLEY LOT BETWEEN QUINCY ST NW, KANSAS AVE NW, RANDOLPH ST NW, AND 10TH ST NW",,,,,,,Petworth 10th Quincy Kansas Community Garden,,,0.14133537,,CommunityGardenPly_17,{9954F081-B1EC-44A3-B38E-BAB66501F4E0},,,,,0,0
18,140 ROCK CREEK CHURCH RD NW,,,,,,,Armed Force Retirement Home Community-Resident Garden,,,1.6166805,,CommunityGardenPly_18,{38E230C2-F4E9-4A0B-981A-022DFFD602FE},,,,,0,0
19,1800 PERRY STREET NE,,,,,,,Taft Field Garden,DPR,12,0.10950936,294529,CommunityGardenPly_19,{143E12A3-6619-459B-98EF-5FB43B58AF5B},,,,,0,0
20,NEWARK STREET NW AND 39TH STREET NW,,,,,http://dpr.dc.gov/page/dpr-community-gardens, ,Newark Street Community Garden,DPR,220,1.19734144,911391,CommunityGardenPly_20,{96312818-7F9C-4C0C-A5C6-68A83C739085},,,,,0,0
21,KENYON STREET NW AND IRVING STREET NW,,,,,,,Wangari Gardens,,,0.30321187,904613,CommunityGardenPly_21,{1B192EAD-B92B-4176-AA14-61CC1B3BF0A5},,,,,0,0
22,3000 GEORGIA AVE NW,,,,,,,Bruce Monroe,DPR,214,0.29264048,308626,CommunityGardenPly_22,{3071FD87-84CA-4404-90E3-9BDBBEAFD809},,,,,0,0
23,42ND STREET NW AND NEW MEXICO AVENUE NW,Dino Kraniotis,965-9388, , ,http://dcgardens.com/community-gardens/, ,Glover Archbold Garden,NPS,,2.61931729,906748,CommunityGardenPly_23,{03B429AA-6A86-4C1B-9A5A-8054585D9B4A},,,,,0,0
24,FRANKLIN STREET NE AND MILLS AVENUE NE,,,,,,,Langdon Youth & Community Garden,DPR,20,0.09107891,903267,CommunityGardenPly_24,{DD68F7D7-8F11-4882-853D-6E528D04106D},,,,,0,0
25,10TH STREET NE AND FRANKLIN STREET NE,,,,,http://dpr.dc.gov/page/dpr-community-gardens,,Noyes Gardens,DPR,7,0.05533851,901346,CommunityGardenPly_25,{7202C508-B0F3-43F1-AE75-39721C56E421},,,,,0,0
26,301 FRANKLIN STREET NE,,,info@edgewooddc.org,,http://edgewoodcommunitygardendc.blogspot.com/,,Edgewood Gardens,DPR,10,0.11506981,289734,CommunityGardenPly_26,{CCA7469D-E09F-457B-8A90-F9072520209C},,,,,0,0
27,5200 SHERIER PLACE NW,,,,,http://dpr.dc.gov/page/dpr-community-gardens,,Palisades Garden,DPR,20,0.12460718,268352,CommunityGardenPly_27,{982D7A52-D1E4-452D-92AC-6423B64D03B4},,,,,0,0
28,3201 FORT LINCOLN DRIVE NE,,,,,,,Theodore Hagans Garden,DPR,10,0.05989247,295140,CommunityGardenPly_28,{F2A64DD1-54BC-45AC-90E1-07421759983E},,,,,0,0
29,14TH STREET NW AND EUCLID STREET NW,,,,,,,Euclid Street Garden,DPR,40,0.14624275,903476,CommunityGardenPly_29,{FC051D2A-E474-4FBB-810E-EBE064C3404A},,,,,0,0
30,17TH STREET NE AND MONTANA AVENUE NE,,,,,http://dcgardens.com/community-gardens/, ,Montana Garden,,,0.33901149,906069,CommunityGardenPly_30,{7EA79A2E-F185-4EB5-83A6-6133398C6E20},,,,,0,0
31,2251 SHERMAN AVENUE NW,,,,,,,Howard University Community Garden (Halo Green),Howard University,,0.23090255,284325,CommunityGardenPly_31,{6C901CE4-A261-4083-9527-963F5E0B7D0A},,,,,0,0
32,19TH STREET NW AND COLUMBIA ROAD NW,Carole Grunberg, ,kaloramacommunitygarden@gmail.com,Chris Otten,http://dpr.dc.gov/page/dpr-community-gardens,"Stop by; coordinator does not take calls",Kalorama Garden,DPR,19,0.06131818,903267,CommunityGardenPly_32,{A2D7A4BF-49C8-4960-98C5-D109735E2982},,,,,0,0
33,40TH STREET NW AND W STREET NW,,,,,http://dcgardens.com/community-gardens/, ,Whitehaven Garden,NPS,,1.0969069,901919,CommunityGardenPly_33,{5B387D33-F93D-4DA6-83D1-F66E9ECB7637},,,,,0,0
34,ELM STREET NW AND 3RD STREET NW,,,,,http://dpr.dc.gov/page/dpr-community-gardens,,Ledroit Gardens,DPR,56,0.09626698,906248,CommunityGardenPly_34,{A0174861-2B7B-4DE3-9D94-B0C6D4E74BF9},,,,,0,0
35,1743 LINCOLN ROAD NE,,,harrythomasgardengroup@gmail.com,,http://dpr.dc.gov/page/dpr-community-gardens,,Harry Thomas Gardens,DPR,16,0.0821253,296786,CommunityGardenPly_35,{B75670E9-0CD7-4405-8970-B6C9164D88CF},,,,,0,0
36,2412 RAND PLACE NE,,,,,,,Arboretum Youth Garden,DPR,7,0.02411268,296167,CommunityGardenPly_36,{CA405BAA-B859-45E9-BB45-EBDB2B5C31CC},,,,,0,0
37,1525 7TH STREET NW,,,,,,,Bread for the City Rooftop Garden,Bread for the City,,0.0884141,297622,CommunityGardenPly_37,{9861891A-4825-4CFD-9946-065B01D3F604},,,,,0,0
38,25TH STREET NW AND N STREET NW,,,,,http://dpr.dc.gov/page/dpr-community-gardens, ,West End Garden,DPR,20,0.13719556,905564,CommunityGardenPly_38,{5C842CCB-D2DC-48D5-A7E9-8944278BBDAD},,,,,0,0
39,935 K STREET NW,,,,,,,Brainfood Youth Garden,Brainfood,,0.06280828,,CommunityGardenPly_39,{D22E055E-D3B7-4FF3-9106-2422259EDF36},,,,,0,0
40,H ST BETWEEN 23RD ST AND 24TH ST,,,,,,,GroW Garden (GW University),GW University,,0.0881765,,CommunityGardenPly_40,{B3A1DBAA-789E-4B6B-ADA5-0CA65CF9B8F8},,,,,0,0
41,4801 NANNIE HELEN BURROUGHS AVENUE NE,,,,,http://dpr.dc.gov/page/dpr-community-gardens, ,Lederer Youth Garden,DPR,40,0.59127098,295153,CommunityGardenPly_41,{E500C500-B021-47E3-B6F6-367D9C3B8C57},,,,,0,0
42,E STREET NE AND 12TH STREET NE,,,,,http://dpr.dc.gov/page/dpr-community-gardens, ,Lovejoy Community Garden,DPR,18,0.04896744,907141,CommunityGardenPly_42,{06559EF4-CCBE-4868-B921-A821F6BDAC44},,,,,0,0
43,ON 20TH ST NE BETWEEN E STREET NE AND D STREET NE,,,,,,,Kingman Park-Rosedale Community Garden,,,0.33156389,,CommunityGardenPly_43,{E335A389-AB99-40C5-A91C-DB9F90D3E36E},,,,,0,0
44,5314 DIX STREET NE,,,,,,,Dix St Garden (SoilFul Gardens),DPR,,0.12241206,288592,CommunityGardenPly_44,{AFE78643-01C2-484D-83D1-94DFE82BC351},,,,,0,0
45,400 50TH STREET NE,,,,,,,Lincoln Heights,Green Scheme,,0.04418738,28532,CommunityGardenPly_45,{6AC776BB-342A-4B84-AB74-973F1AA1C926},,,,,0,0
46,260 54TH STREET NE,,,,,,,Beet St Garden - Richardson Dwellings,,,0.04456516,150458,CommunityGardenPly_46,{524F4A64-140A-416A-B27E-546727DFF138},,,,,0,0
47,6TH STRET NE BETWEEN C STREET NE AND CONSTITUTION AVENUE NE,Kendall LePoer,546-6058,kendall.lepoer@verizon.net, ,http://fieldtoforknetwork.org/community-gardens/hilton/, ,Hilton Garden,,,0.2349048,304133,CommunityGardenPly_47,{2293BC3D-45E6-4CD6-A135-C062718845A6},,,,,0,0
48,KINGS COURT SE AND 15TH STREET SE,,,,,http://www.kingscourtgarden.org/, ,King's Court Community Garden,,,0.17626213,913460,CommunityGardenPly_48,{403E5A9F-BE8A-45DA-8C03-746763B39678},,,,,0,0
49,19TH STREET SE AND BURKE STREET SE,,,,,,,RockStAr Garden,,,0.03960654,902645,CommunityGardenPly_49,{D7B3FFA8-730B-4DC8-9C16-0B8D22294775},,,,,0,0
50,1301 C STREET SE,,,,,,,13th Street Community Park & Garden,,,0.16884106,290383,CommunityGardenPly_50,{4D3562E0-67CA-412D-B368-A6A38385C822},,,,,0,0
51,"BETWEEN 17TH STREET SE, 18TH STREET SE, D STREET SE, AND C STREET SE", ,544-6548,board@hilleastgarden.org, ,http://hilleastgarden.org/Hill_East_Community_Garden/home.html, ,Hill East Community Garden,,36,0.11939274,,CommunityGardenPly_51,{6C2D478F-B094-47D1-B923-F48B00712F35},,,,,0,0
52,"ALLEY LOT BETWEEN 17TH, 18TH, D, AND E ST SE",,,,,,,Green SEED Community Garden,,,0.28189924,,CommunityGardenPly_52,{B5E27CB4-06C7-47DC-AD93-14896CDEF95D},,,,,0,0
53,15TH 1/2 STREET SE,,,,,,,Victory Gardens Farm,Victory Gardens,,0.1482949,,CommunityGardenPly_53,{546E156E-F1F6-4A0D-B8E8-E88F1C471DD4},,,,,0,0
54,FABLE STREET SE AND SOUTHERN AVENUE SE ,,,benningcommunitygarden@gmail.com,,http://dpr.dc.gov/page/dpr-community-gardens,,Benning Garden,DPR,16,0.10980556,308760,CommunityGardenPly_54,{0DAE7648-F783-44A8-85BB-E3D5F70C0A9C},,,,,0,0
55,911 11TH STREET SE,,,,,http://dcgardens.com/community-gardens/, ,Pomegranate Alley Community Garden,,,0.15389402,82095,CommunityGardenPly_55,{3EDA79EC-208D-4A42-8005-41E0D2535D66},,,,,0,0
56,8TH STREET SE AND VIRGINIA AVENUE SE,,,,,,,National Community Church (11th St Bridge Park Plot),,,0.19484188,904306,CommunityGardenPly_56,{283659D3-64F0-4B9E-BA7F-9F2C87B51AEB},,,,,0,0
57,K STREET SW AND DELAWARE AVENUE SW,,,,,http://swgardens.org/,,Southwest Garden,DPR,32,0.1192542,903176,CommunityGardenPly_57,{0A7C9031-9C22-41A0-B9F5-D9066DC5D010},,,,,0,0
58,9TH STREET SE AND L STREET SE,,,,,http://www.capitolriverfront.org/go/virginia-ave-park, ,Virginia Ave Community Garden,DPR,80,0.47060287,902783,CommunityGardenPly_58,{C280DAC3-CC24-4314-9917-B71060F2F35D},,,,,0,0
59,FORT DUPONT DRIVE SE AND FORT DAVIS DRIVE SE,,,,,,,Fort Dupont Park Gardens,NPS,,3.11851692,910899,CommunityGardenPly_59,{8EE3E7EC-FA3C-4DA4-8049-6FCA277345A1},,,,,0,0
60,1225 W STREET SE,,,,,,,Union Temple Baptist Church Garden (11th Street Bridge Park Plot),,,0.22900806,70732,CommunityGardenPly_60,{C25FC236-B788-4B54-A0EF-42144D7E3B68},,,,,0,0
61,2220 MARTIN LUTHER KING JR AVENUE SE,,,,,,,Bethel Christian Fellowship (11th St Bridge Park Plot),,,0.02458442,50017,CommunityGardenPly_61,{1E03429C-225D-4AA8-8DDD-8A2BBD07E0A2},,,,,0,0
62,3100 DENVER STREET SE,,,hillcrestgardencenter@gmail.com,,http://dpr.dc.gov/page/dpr-community-gardens,,Hillcrest Garden,DPR,14,0.07414559,296174,CommunityGardenPly_62,{6D09B942-463F-401C-9979-79F6C7AED289},,,,,0,0
63,1812 ERIE STREET SE,Addie Cooke,202-889-6729, , ,http://dpr.dc.gov/page/dpr-community-gardens, ,Fort Stanton Community Garden,DPR,9,0.02690155,296165,CommunityGardenPly_63,{B8D09185-57EA-4D7E-9C7D-2C02B544F6CA},,,,,0,0
64,1898 STANTON TERRACE SE,,,friendsofdouglasscc@gmail.com,,http://dpr.dc.gov/page/dpr-community-gardens,,Douglass Garden,DPR,9,0.06977544,286513,CommunityGardenPly_64,{65E97E59-6B4E-49AC-88FF-CA6412CFAD20},,,,,0,0
65,23RD STREET SE AND SAVANNAH STREET SE,,,,,https://communitygarden.org/find-a-garden/gardens/shipley-community-gardens/, ,Shipley Community Garden,,,0.03425114,903118,CommunityGardenPly_65,{87F5F582-21BA-4B33-A409-FC2BC0D6B874},,,,,0,0
66,MISSISSIPPI AVENUE SE AND 13TH STREET SE,,,,,,,Mothers Peace Garden,DPR,,0.04824366,904393,CommunityGardenPly_66,{4ED0CA54-85AF-4311-A5B8-7C302805538C},,,,,0,0
67,3999 8TH STREET SE,,,,,,,Ferebee Hope Community Garden,DPR,11,0.04921356,294588,CommunityGardenPly_67,{EABE505C-D626-4CAA-BEA5-21834A08D727},,,,,0,0
68,MARTIN LUTHER KING JR AVENUE SW AND ELMIRA STREET SW,,,ftgcommunitygarden@gmail.com,,http://dpr.dc.gov/page/dpr-community-gardens,,Fort Greble Garden,DPR,15,0.07829295,904021,CommunityGardenPly_68,{576EE62F-1FDD-4CB1-964C-40372934F5DF},,,,,0,0
