OBJECTID,NAME,ADDRESS,USE_TYPE,PROPID,ACTIVE,DIAMOND60,DIAMOND90,BBCOURT,FBFIELD,SOCCERJR,SOCCERREG,TENNISCT,VOLLEYB,SKATEPARK,WOODLAND,VSTRSHCAN,DMPSTR,PICNIC,PLYGRD,TOTLOT,INSWIM,OUTSWIM,SPRAYPARK,UTILBX,TRAFPOLE,UTILPOLE,BUSSTP,LOCK_,NMZ,DRINKFOUNT,BENCHES,ATHLIGHT,LNDSCPBED,TOTIMPV,SIGNS,TURFONLY,FENCE,TOPO,COMMGAR,WARD,AREA_,ZONE_,PARKPARTN,RES_NUM,ADJ_SCHOOL_SITE,COMMENTS,SSL,DATE_ACQUIRED,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
11,Lafayette,"Broad Branch Rd., between Quesada and 33rd Sts., NW",REC CENTER GROUNDS,DPR_0473,Y,1,,,,,,2,0,N,N,5,1,8,1,1,0,0,N,,,,N,,N,3,19,Nne,Gd,Nw,RpLACE,Pr,Nne,MdSlp,N,Ward 4,,01,,0473,Lafayette Elementary School,"Subdivision 158, Page 37, TOJ to DC for Recreation Purposes",2011    0806,1972/11/14 00:00:00+00,{36B6FC39-6C5B-4654-9039-52553755234B},,,,,0,0
12,Lamond,"Kansas Ave., between Underwood and Tuckerman Sts., NW",REC CENTER GROUNDS,DPR_0685,N,1,0,0,0,0,0,0,0,N,N,0,0,0,1,0,0,0,,0,0,0,,,,0,0,,,,,,,,N,Ward 4,,09,,0685,none,Subdivision Books (158 & 198) Pages (37 & 170) (TOJ for Recreation Purposes),RES 06850000,1972/11/14 00:00:00+00,{5F566DD8-5381-4492-B313-2AB28EFC04D1},,,,,0,0
13,Triangle Park RES 0422,"Chevy Chase Parkway,Chevy Chase Parkway,Oliver St.,NW",TRIANGLE,DPR_0422,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 3,,01,,0422,none,TOJ for Comp Plan,RES 04220000,,{42AC8388-FE1F-4370-810A-CDBF0A4360BA},,,,,0,0
14,Chevy Chase Community Center,"Connecticut Ave. and McKinley St., NW",REC CENTER GROUNDS,DPR_0034,Y,0,0,1,0,0,0,0,0,N,N,2,0,2,1,1,0,0,N,0,0,0,N,,N,1,0,Nne,RpLACE,RpLACE,RpLACE,RpLACE,ChnLnk,Flt,N,Ward 3,,01,N,none,none,"County Books (21 & 24), Page 49, Survey Books (38 & 114), Pages (139 & 303), A&T Plat 446",1866    0823,,{9B5B068F-0E96-4D42-96F2-61F7BEB94BC3},,,,,0,0
15,Chevy Chase Recreation Center,"Livingston St., between 41st St. and Western Ave., NW",REC CENTER GROUNDS,DPR_0431,Y,1,0,1,0,0,0,2,0,N,N,10,0,5,1,1,0,0,N,0,0,0,N,,N,1,14,Nne,RpAIR,RpLACE,RpLACE,RpLACE,ChnLnk,Flt,N,Ward 3,,01,Y,0431,none,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),RES 04310000,1927/08/09 00:00:00+00,{7E87ECB8-E52C-4B3A-9E4E-F75B63010937},,,,,0,0
16,Triangle Park RES 0452,"New Hampshire Ave., 1st St. and Chillum Pl., NE",SMALL PARK,DPR_0452,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,10,,0452,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),RES 04520000,,{0CB8BCE0-CF5B-48BF-8490-443C59A45A9D},,,,,0,0
17,Triangle Park RES 0373,"Military Rd., between Belt Rd. and 42nd St., NW",SMALL PARK,DPR_0373,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 3,,01,,0373,none,Subdivision Book 158 Page 50 (TOJ for Recreation Purposes),1743    0817,,{EE79F841-36F5-49C3-9FDA-5B8A6F597BEE},,,,,0,0
18,Riggs Road Playground,"Riggs Road & Nicholson St., NE",REC CENTER GROUNDS,DPR_0665,Y,1,0,0,1,0,0,0,0,N,N,0,0,0,1,0,0,1,N,0,0,0,Y,,N,0,2,Nw,RpLACE,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,Ward 4,,10,N,0665,LaSalle Elementary School,Subdivision Books (136 & 152) Pages (183 & 136) (TOJ to DC for Recreation & school purposes),RES 06650000,1968/01/18 00:00:00+00,{691CF52B-7438-4B5F-9B22-BA6E4092C3E1},,,,,0,0
19,Emery,"Georgia Ave. and Madison St., NW",REC CENTER GROUNDS,DPR_0029,Y,1,0,1,0,0,0,1,0,N,Y,5,2,1,1,1,0,0,N,,,,N,,Y,1,3,Nw,Pr,Nw,RpLACE,Pr,Ir,MdSlp,Y,Ward 4,,09,,none,none,,2988    0802,,{4CF69A67-9B4A-412A-8806-8CFDEECEF23E},,,,,0,0
20,Legacy Memorial Park,South Dakota Ave NE and New Hampshire Ave NW,PARK,DPR_0756,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,,,,,"Reference Sub bk 209, pg 29 ",Multiple Lots,,{E08ED394-BF83-499E-A7C5-747B884F91D4},,,,,0,0
21,Triangle Park RES 0347,"Missouri Ave., between Madison Ave. & 7th Sts., NW",TRIANGLE,DPR_0347,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,09,,0347,none,,3205    0802,,{E07BBA6F-2C70-482E-9639-B4625A4E6CC3},,,,,0,0
22,Triangle Park RES 326B,"Reno Rd.,39th St.,Jenifer St.,NW",TRIANGLE,DPR_326B,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 3,,01,,326B,none,TOJ for Comp Plan,RES 326B0000,,{DA0D6A59-A233-42BC-9521-87C6D0B45548},,,,,0,0
23,Triangle Park RES 0515,"Nevada Ave.,Broadbranch Rd.,Chapel Rd.,NW",TRIANGLE,DPR_0516,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 3,,01,,0515,none,(Partial TOJ to NPS - 30th Street NW),RES 05150000,,{FD51A375-0DCF-4053-995D-6B705F0CF814},,,,,0,0
24,Triangle Park RES 0541,"Kansas Ave., between Longfellow & 2nd Sts., NW",TRIANGLE,DPR_0541,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,10,,0541,none,Subdivision Book 78 Page 38 & NPS GO 470 (TOJ for Recreation Purposes),RES 05410000,,{7C1B42C8-BA68-4D82-AFB6-D76574BAA021},,,,,0,0
25,Triangle Park RES 326A,"Reno Rd.,38th St.,Huntington St. ,NW",TRIANGLE,DPR_326A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 3,,01,,326A,none,TOJ for Comp Plan,RES 326A0000,,{DD7F3E30-6E9B-4837-8B3A-EB6825D87C1E},,,,,0,0
26,Linnean Park,"Linnean Ave. and Broad Branch Rd., NW",PARK,DPR_0625,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,N,Ward 3,,01,,0625,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),Multiple Lots,1972/12/14 00:00:00+00,{54BD7D57-962F-4C04-8F9D-68974B90DA75},,,,,0,0
27,Triangle Park RES 0577,"Kansas Ave.,3rd St.,Ingraham St.,NW",TRIANGLE,DPR_0577,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,10,,0577,none,TOJ for Comp Plan,RES 05770000,,{0B51212E-3A5C-4F2A-B217-616F3745D343},,,,,0,0
28,Fort Reno,"Nebraska Ave., between Fessenden and Chesapeake Sts., NW",PARK,DPR_0470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 3,,01,,0470,Woodrow Senior High School,"Subdivision Book 129, Page 27, and Book 205 Page 138. TOJ to DC for Parks, Recreation and Open Space.",1759    0807,1903/01/01 00:00:00+00,{6FD227AE-1815-4862-933F-92FB728EBA82},,,,,0,0
29,Triangle Park RES 0326,"Wisconsin Ave.,42nd St.,Fessenden St.,NW",TRIANGLE,DPR_0326,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 3,,01,,0326,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),RES 03260000,,{8BB49B3B-A31D-40E3-81C1-AEEA1BFC8457},,,,,0,0
30,Keene Playground,Rock Creek Church Rd. NE and Hamilton St. NE,FIELD,DPR_0497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 5,,,,0497,,"KEENE PLAYGROUND.  TRANSFERS OF JURISDICTION (TOJ) FOR RECREATION AND RELATED PURPOSES.  BOUNDARY CONSIST OF MULTIPLE LOTS (PARCELS 124/103, 125/15 & 16;  SQ.3700, LOT 802; SQ.3702, LOT 804",Multiple,1972/12/14 00:00:00+00,{DC8066B1-86ED-45FE-8AF2-7374E3E6B946},,,,,0,0
31,Triangle Park RES 0574,"New Hampshire Ave., between Ingraham & 1st Sts., NW",TRIANGLE,DPR_0574,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,10,,0574,none,TOJ for Comp Plan,RES 05740000,,{F4BD1E5A-686B-40DF-BB9B-B6326DD1EDD5},,,,,0,0
32,Rudolph,"Ingraham and Hamilton Sts., to 2nd & 3rd Sts., NW",REC CENTER GROUNDS,DPR_0517,Y,2,0,4,0,0,0,0,0,N,N,0,0,0,1,0,0,0,N,0,0,0,N,,N,1,2,RpLACE,RpLACE,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,Ward 4,,10,N,0517,Rudolph Elementary School,Subdivision Books (141 & 149) Pages (125 & 170) (TOJ to DC for school purposes),3327    0800,1972/11/14 00:00:00+00,{5620AB7F-AB5A-4915-ABDA-8A855A51AA0A},,,,,0,0
33,Triangle Park RES 312H,"Illinois Ave.,9th St.,Ingraham St.,NW",TRIANGLE,DPR_312H,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,09,,312H,none,TOJ for Comp Plan,RES 312H0000,,{577DBD31-77DF-4E34-A2C3-2BCF67E82D9D},,,,,0,0
34,Galen Tait Memorial Park,"Western Ave.,48th St.,Ellicott St.,NW",TRIANGLE,DPR_0454,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 3,,01,,0454,none,TOJ for Comp Plan,RES 04540000,1972/12/14 00:00:00+00,{586CF265-069C-45DE-AD7A-7F36C33275DF},,,,,0,0
35,Triangle Park RES 312C,"Illinois Ave.,9th St.,Gallatin St.,NW",TRIANGLE,DPR_312C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,09,,312C,none,TOJ for Comp Plan,RES 312C0000,,{3D24B0A3-2383-41EB-89F2-B908E24026F6},,,,,0,0
36,Murch Field,Davenport and Reno Rd.,PARK,DPR_0515,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Ward 3,,01,,0515,,TOJ TO DC Subdivision Book 106 Page 25,1980    0814,,{BFB1B56E-E7B5-414E-AC04-FEFC5611E67D},,,,,0,0
37,Hamilton,"13th and 14th Sts., to Hamilton & Gallatin Sts., NW",REC CENTER GROUNDS,DPR_0493,Y,1,0,2,0,0,0,0,0,N,N,3,0,1,1,1,0,0,N,0,0,0,N,,N,0,4,Nne,Nne,RpAIR,RpLACE,RpAIR,ChnLnk,Flt,N,Ward 4,,09,N,0493,none,Subdivision Book 158 Page 11 (TOJ for Recreation Purposes),2805    0806,1971/12/18 00:00:00+00,{AA08599F-6FA2-45BA-8856-E4E96582F29D},,,,,0,0
38,Triangle Park RES 0547,"Kansas Ave., between Gallatin & 4th Sts., NW",TRIANGLE,DPR_0547,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,10,,0547,none,TOJ for Comp Plan,RES 05470000,,{945A3371-251E-48ED-BFC1-786C82116673},,,,,0,0
39,Triangle Park RES 312E,"Arkansas Ave.,Georgia Ave.,Farragut St.,NW",TRIANGLE,DPR_312E,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,09,,312E,none,TOJ for Comp Plan,RES 312E0000,,{A9B8EEB6-5743-43A3-B8D9-EAAAEE0A5967},,,,,0,0
40,Triangle Park RES 0526,"Kansas Ave.,5th St.,Farragut St.,NW",TRIANGLE,DPR_0526,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,09,,0526,none,TOJ for Comp Plan,RES 05260000,,{1EE621AF-A822-478D-B356-BE2EB753F200},,,,,0,0
41,Forest Hills Playground,"32nd & Chesapeake Sts., NW",PARK,DPR_0654,Y,0,1,0,0,0,0,2,0,,Y,,,,1,1,0,0,,,,,,,,,,,,,,,,,N,Ward 3,,01,,0654,none,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),RES 06540000,1972/12/14 00:00:00+00,{90EA977C-C7FF-4299-8022-C7ED4DB281A8},,,,,0,0
42,North Michigan Park,"13th and Emerson Sts., NE",REC CENTER GROUNDS,DPR_0031,Y,1,0,0,0,0,0,0,0,N,Y,5,1,11,0,0,0,0,N,0,0,0,N,,Y,0,0,Nne,Pr,Nw,RpLACE,Pr,Ir,MdSlp,N,Ward 5,,11,Y,none,none,,PAR 01480074,,{A5496506-3F02-411A-9E08-F38D4EC5121F},,,,,0,0
43,Triangle Park RES 312D,"Arkansas Ave.,13th St.,Emerson St.,NW",TRIANGLE,DPR_312D,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,09,,312D,none,TOJ for Comp Plan,RES 312D0000,,{5B6D1F80-0321-4F75-B100-6DA985691431},,,,,0,0
44,Wilson Aquatic Center,3950 CHESAPEAKE STREET NW,AQUATIC CENTER,DPR_0054,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 3,,,,none,,,1772    0009,,{C9E44EEB-7503-4666-9945-9A65ABC7A9CF},,,,,0,0
45,Triangle Park RES 0585,"New Hampshire Ave.,3rd St.,Decatur St.,NW",TRIANGLE,DPR_0585,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,10,,0585,none,TOJ for Comp Plan,RES 05850000,,{5B6C4584-5A71-4A6D-B993-20B62D1419A5},,,,,0,0
46,Triangle Park RES 0350,"Massachusetts Ave.,50th St.,Yuma St.,NW",TRIANGLE,DPR_0350,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 3,,03,,0350,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),1483    0800,,{CD4C50FC-0CE2-45C6-BB65-20E0B360840F},,,,,0,0
47,Triangle Park RES 0413,"New Hampshire Ave., between 4th & Buchanan Sts., NW",TRIANGLE,DPR_0413,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,10,,0413,none,TOJ for Comp Plan,RES 04130000,,{FC7C59C3-3DD8-4F6F-BD58-5578E1012B96},,,,,0,0
48,Upshur,"14th St. and Arkansas Ave., NW",REC CENTER GROUNDS,DPR_0035,Y,1,0,2,0,1,0,0,0,N,Y,0,1,1,1,1,0,1,N,0,0,0,N,,Y,2,8,Nw,RpLACE,RpLACE,RpLACE,RpLACE,ChnLnk,MdSlp,N,Ward 4,,09,Y,none,Sharpe Health Special Education School,<Null>,Multiple Lots,,{2AD841A2-65E2-4B41-8090-D8FBAF0BAF1D},,,,,0,0
49,Friendship,"45th St., Van Ness and Massachusetts Ave., NW",REC CENTER GROUNDS,DPR_0613A,Y,3,1,2,0,0,0,2,0,N,Y,5,1,7,1,1,0,0,N,0,0,0,N,,N,1,0,Nne,Gd,Nw,RpLACE,Pr,ChnLnk,Flt,Y,Ward 3,,02,Y,"0613,0613A",none,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),Multiple Lots,1972/11/14 00:00:00+00,{6F1325D2-7D47-4F53-B9FB-0879392A81AF},,,,,0,0
50,Triangle Park RES 0505,"18th St. and Argyle Terr., NW",SMALL PARK,DPR_0505,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,09,,0505,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),RES 05050000,,{5307AD94-2DBA-4753-A402-9DA92F3D7191},,,,,0,0
51,Triangle Park RES 0477,"Wisconsin Ave.,39th St. ,Veazy St.,NW",TRIANGLE,DPR_0477,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 3,,02,,0477,none,TOJ for Comp Plan,RES 04770000,,{27FE6E96-FC52-4F49-A711-680AA3A44AD5},,,,,0,0
52,Bunker Hill Triangle Park,"Michigan Ave.,18th St.,Bunker Hill Rd.,NE",TRIANGLE,DPR_0696,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 5,,11,,0696,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),PAR 01470143,1972/12/14 00:00:00+00,{2BBE0D90-07AE-4BE6-BA60-15AFB638C83D},,,,,0,0
53,Triangle Park RES 0353,"Massachusetts Ave.,47th St. ,Upton St.,NW",TRIANGLE,DPR_0353,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 3,,03,,0353,none,TOJ for Comp Plan,1556W   0800,,{9A62AB02-4AB3-4CFD-A9E1-1FFD2EA344CB},,,,,0,0
54,Triangle Park RES 0318,"Georgia Ave.,9th St.,Upshur St.,NW",TRIANGLE,DPR_0318,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,10,,0318,none,TOJ for Comp Plan,RES 03180000,,{AB3C4043-FFED-442B-9AAC-E292E753746E},,,,,0,0
55,Petworth,"Taylor St., between 8th and 9th Sts., NW",REC CENTER GROUNDS,DPR_0710,Y,0,0,2,0,0,0,0,0,N,N,3,0,0,1,1,0,0,Y,1,0,0,Y,,N,0,6,Nw,Pr,Nw,RpLACE,Pr,ChnLnk,MdSlp,N,Ward 4,,10,Y,0710,none,Subdivision Book 158 Page 11 (TOJ to DC for Recreation purposes),3025    0812,1971/10/18 00:00:00+00,{5DF99A67-69D7-423E-8983-177929E03610},,,,,0,0
56,Twin Oaks Garden,"14th and Taylor Sts., NW",PARK,DPR_0040,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Ward 4,,09,,none,Powell Elementary School,"Survey Book 91, Page 119",Multiple Lots,1929/01/01 00:00:00+00,{0726A0C5-7ACB-48F5-B753-562B5132D4D3},,,,,0,0
57,Triangle Park RES 0319,"New Hampshire Ave.,7th St.,Taylor St.,NW",TRIANGLE,DPR_0319,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,10,,0319,none,TOJ for Comp Plan,RES 03190000,,{1619C888-FD89-4DE4-B486-69F230D59800},,,,,0,0
58,Hearst,"37th St. and Idaho Ave., NW",REC CENTER GROUNDS,DPR_0527,Y,1,0,1,0,1,0,3,0,N,Y,2,0,3,0,1,0,0,N,0,0,0,N,,N,0,2,Nne,Nne,RpAIR,RpLACE,Pr,ChnLnk,MdSlp,N,Ward 3,,02,Y,0527,Hearst Elementary School,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),1905    0802,1972/12/14 00:00:00+00,{483A3E37-7416-4461-BE63-2317401352B9},,,,,0,0
59,Triangle Park RES 322B,"Michigan Ave, 12th and Shepherd Streets, NE
",TRIANGLE,DPR_322B,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 5,,10,,322B,none,TOJ for Comp Plan,RES 322B0000,,{248F83C5-5AAA-4A65-8425-566A44278F3F},,,,,0,0
60,Turkey Thicket,"Shepherd St. and Michigan Ave., NE",REC CENTER GROUNDS,DPR_0496,N,0,1,0,0,0,0,0,0,N,N,0,0,0,1,0,0,0,,0,0,0,,,,0,0,,,,,,,,N,Ward 5,,10,,0496,Brookland Elementary School,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),3888    0803,1972/11/14 00:00:00+00,{9CF8140C-FD20-4666-8C9A-5D79CB0FAA81},,,,,0,0
61,Triangle Park RES 0322,"New Hampshire Ave.,8th St.,Randolph St.,NW",TRIANGLE,DPR_0322,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,10,,0322,none,TOJ for Comp Plan,3131W   0800,,{417C59C7-F8BB-4E78-87E1-9E0812996233},,,,,0,0
62,Triangle Park RES 0582,"South Dakota Ave., between Randolph & 19th Sts., NW",TRIANGLE,DPR_0582,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 5,,11,,0582,none,TOJ for Comp Plan,RES 05820000,,{1756E427-5770-42D2-A9DD-E40913767BC7},,,,,0,0
63,Spring Valley Park,"49th St. and Fordham Rd., south of Quebec St., NW",PARK,DPR_0543,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,N,Ward 3,,03,,0543,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),1474    0805,1972/01/01 00:00:00+00,{344A87A9-7FC9-409C-A004-F9C7495D4626},,,,,0,0
64,Triangle Park RES 0321,"Rock Creek Church Rd.,5th St.,Quincy St.,NW",TRIANGLE,DPR_0321,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,10,,0321,none,TOJ for Comp Plan,RES 03210000,,{6A0A6284-6D07-4240-9A23-91376041E5E7},,,,,0,0
65,Triangle Park RES 323E,"Kansas Ave.,13th St.,Quincy St.,NW",TRIANGLE,DPR_323E,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,09,,323E,none,TOJ for Comp Plan,RES 323E0000,,{B7BF99CF-4D7D-4C77-A911-DEFDCA334B12},,,,,0,0
66,Raymond,"Spring Rd., between Quincy and 9th Sts., NW",REC CENTER GROUNDS,DPR_0486,Y,1,0,1,0,0,0,2,0,N,N,2,0,0,1,1,0,0,N,0,0,0,N,,N,2,0,RpLACE,Nne,RpAIR,RpLACE,RpAIR,ChnLnk,Flt,N,Ward 4,,09,N,0486,Paul Robeson Center,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),RES 04860000,1972/11/14 00:00:00+00,{679128C1-F280-4376-A804-24E257BBB9EC},,,,,0,0
67,Dwight A. Moseley,"18th and Perry Sts., NE",REC CENTER GROUNDS,DPR_0476,Y,1,2,4,0,0,0,5,0,N,N,0,1,2,1,1,0,0,N,0,0,0,N,,N,0,4,Nw,Nne,Nw,RpLACE,Gd,ChnLnk,Flt,Y,Ward 5,,10,N,0476,Taft Center,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),RES 04760000,,{C3BE8294-517F-4127-91F2-7283857449DB},,,,,0,0
68,Triangle Park RES 0533,"34th St., between Ordway St. & Reno Rd., NW",TRIANGLE,DPR_0533,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 3,,02,,0533,none,TOJ for Comp Plan,RES 05330000,,{B894EE1A-ED12-484E-8513-E5429224232C},,,,,0,0
